№П/П;Индекс системы;Наименование системы;Номер схемы зав.521;Номер схемы зав.522;Номер схемы зав.523;Мнемокадр;Доп. Схема 1;Доп. Схема 2;Доп. Схема 3;Комментарий;Исполнитель
54;63;Управление подруливающим устройством ПУ100Ф;;12700.362653.2063Э4;;ОКС. Управления ВПК;;;;;
55;64;Управление системой приема, перекачки и сепарации топлива;;12700.362653.2064Э4;;ОКС.Топливо;;;;;
56;66;Управление пожарными насосами;;12700.362653.2066Э4;;ОКС.Водяное пожаротушение;;;;;Камриков
57;68;Управление системой орошения;;12700.362653.2068Э4;;ОКС.Орошение;;;;;
58;70;Контроль температуры маслобуксы МИШ ВРШ и циркуляционного масла ВРШ;;12700.362653.2070Э4;;ГЭУ. Валопровод;;;;;
59;71;Управление системами сточных и хозяйственно-бытовых вод;;12700.362653.2071Э4;;ОКС.Сточка;;;;;
60;72;Управление системой горячей воды;;12700.362653.2072Э4;;ОКС.Пресная вода;;;;;
61;74;Сигнализация о работе насосов системы охлаждения кондиционеров;;12700.362653.2074Э4;;ОКС.Охлождение кондиционеров;;;;;
62;76;Управление корабельными вентиляторами;;12700.362653.2076Э4;;ОКС.Вентиляция и кондиционирование;;;;;
63;77;Управление корабельными кондиционерами;;12700.362653.2077Э4;;ОКС.Вентиляция и кондиционирование;;;;;
64;82;"Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";;12700.362653.2082Э4;;ОКС.Гамма;;;;;
65;83;Комплекс задраенного состояния дверей и крышек люков;;12700.362653.2083Э4;;ОКС.Гамма;;;;;
66;99;Система контроля температуры и влажности;;12700.362653.2150Э4;;СОЭЖ;;;;;
67;65;ЭЭС;;12700.362653.2065Э4;;ЭЭС. Электросистема;;;;;Гончарук
68;66;ОХТ;;12700.362653.2078Э4;;ОКС.ОХТ;;;;;
