№ п/п;Имя параметра;Описание параметра;Система;CAN_ID;Смещение;Длина;UNO1;№ порта UNO1;UNO3;№ порта UNO3;Протокол;Тип ;StandID;BitCount
1;BI21_1SS1_DK3_T;Сработка 1СС1-ДК3 температура в Шкиперской кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;0;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
2;BI21_1SS1_DK3_dT;Сработка 1СС1-ДК3 изменение температуры в Шкиперской кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;1;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
3;BI21_1SS1_DK3_f;Сработка 1СС1-ДК3 дым в Шкиперской кладовой 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;2;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
4;BI21_1SS1_DK2_T;Сработка 1СС1-ДК2 температура в Такелажной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;3;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
5;BI21_1SS1_DK2_dT;Сработка 1СС1-ДК2 изменение температуры в Такелажной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;4;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
6;BI21_1SS1_DK2_f;Сработка 1СС1-ДК2 дым в Такелажной кладовой 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;5;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
7;BI21_1SS1_DT1_T1;Сработка 1СС1-ДТ1 температура в Такелажной кладовой 30 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;6;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
8;BI21_1SS1_DT1_T2;Сработка 1СС1-ДТ1 температура в Такелажной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;7;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
9;BI21_1SS1_DT1_dT;Сработка 1СС1-ДТ1 изменение температуры в Такелажной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;8;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
10;BI21_1SS1_DK1_T;Сработка 1СС1-ДК1 температура в Форпике 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;9;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
11;BI21_1SS1_DK1_dT;Сработка 1СС1-ДК1 изменение температуры в Форпике 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;10;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
12;BI21_1SS1_DK1_f;Сработка 1СС1-ДК1 дым в Форпике 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;11;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
13;BI21_1SS1_DTV1_T;Сработка 1СС1-ДТВ1 температура в Молярной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;12;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
14;BI21_1SS1_DTV1_dT;Сработка 1СС1-ДТВ1 изменение температуры в Молярной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;13;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
15;BI21_1SS1_DTV2_T;Сработка 1СС1-ДТВ2 температура в Молярной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;14;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
16;BI21_1SS1_DTV2_dT;Сработка 1СС1-ДТВ2 изменение температуры в Молярной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;15;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
17;BI21_1SS1_DFV1_f;Сработка 1СС1-ДФВ1 дым в Молярной кладовой 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;16;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
18;BI21_1SS1_RV1;Сработка 1СС1-РВ1 в Молярной кладовой;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;17;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
19;BI21_1SS1_DP1;Сработка 1СС1-ДП1 в Молярной кладовой;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;18;1;ДА;3;ДА;0;Пожарная автоматика;П;;
20;BI21_1SS1_DP2;Сработка 1СС1-ДП2 в Молярной кладовой;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;19;1;ДА;3;ДА;0;Пожарная автоматика;П;;
21;BI22_2SS1_DF3_f;Сработка 2СС1-ДФ3 дым в Тамбуре №4 15% ;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;20;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
22;BI22_2SS1_DF4_f;Сработка 2СС1-ДФ4 дым в Тамбуре №4 15% ;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;21;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
23;BI22_2SS1_R2;Сработка 2СС1-Р2 в Тамбуре №4;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;22;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
24;BI22_2SS1_DT9_T1;Сработка 2СС1-ДТ9 температура в Клад. сух. прод. и хлеба 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;23;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
25;BI22_2SS1_DT9_T2;Сработка 2СС1-ДТ9 температура в Клад. сух. прод. и хлеба 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;24;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
26;BI22_2SS1_DT9_dT;Сработка 2СС1-ДТ9 изменение температуры в Клад. сух. прод. и хлеба 10 гр.Ц. в мин.  ;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;25;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
27;BI22_2SS1_DT10_T1;Сработка 2СС1-ДТ10 температура в Клад. сух. прод. и хлеба 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;26;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
28;BI22_2SS1_DT10_T2;Сработка 2СС1-ДТ10 температура в Клад. сух. прод. и хлеба 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;27;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
29;BI22_2SS1_DT10_dT;Сработка 2СС1-ДТ10 изменение температуры в Клад. сух. прод. и хлеба 10 гр.Ц. в мин.  ;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;28;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
30;BI22_2SS1_DF6_f;Сработка 2СС1-ДФ6 дым в Посту ПМО №2 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;29;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
31;BI22_2SS1_DT13_T1;Сработка 2СС1-ДТ13 температура в Посту ПМО №2 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;30;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
32;BI22_2SS1_DT13_T2;Сработка 2СС1-ДТ13 температура в Посту ПМО №2 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;31;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
33;BI22_2SS1_DT13_dT;Сработка 2СС1-ДТ13 изменение температуры в Посту ПМО №2 10 гр.Ц. в мин. ;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;32;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
34;BI22_2SS1_DF7_f;Сработка 2СС1-ДФ7 дым в Тамбуре №5 15% ;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;33;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
35;BI22_2SS1_R3;Сработка 2СС1-Р3 в Тамбуре №5;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;34;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
36;BI22_2SS1_DF8_f;Сработка 2СС1-ДФ8 дым в Помещении щитов №2 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;35;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
37;BI22_2SS1_DT7_f1;Сработка 2СС1-ДТ7 влажность в Помещении щитов №2 98%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;36;1;ДА;3;ДА;0;Пожарная автоматика;В98;;
38;BI22_2SS1_DT7_f2;Сработка 2СС1-ДТ7 влажность в Помещении щитов №2 80%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;37;1;ДА;3;ДА;0;Пожарная автоматика;В80;;
39;BI22_2SS1_DT7_T1;Сработка 2СС1-ДТ7 температура в Помещении щитов №2 30%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;38;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
40;BI22_2SS1_DT7_T2;Сработка 2СС1-ДТ7 температура в Помещении щитов №2 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;39;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
41;BI22_2SS1_DF5_f;Сработка 2СС1-ДФ5 дым в Помещении мороз. шкафов 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;40;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
42;BI22_2SS1_DT12_T1;Сработка 2СС1-ДТ12 температура в Помещении мороз. шкафов 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;41;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
43;BI22_2SS1_DT12_T2;Сработка 2СС1-ДТ12 температура в Помещении мороз. шкафов 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;42;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
44;BI22_2SS1_DT12_dT;Сработка 2СС1-ДТ12 изменение температуры в Помещении мороз. кафов 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;43;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
45;BI22_2SS1_DK2_T;Сработка 2СС1-ДК2 температура в Помещении холод. шкафов 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;44;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
46;BI22_2SS1_DK2_dT;Сработка 2СС1-ДК2 изменение температуры в Помещении холод. шкафов 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;45;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
47;BI22_2SS1_DK2_f;Сработка 2СС1-ДК2 дым в Помещении холод. шкафов 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;46;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
48;BI22_2SS1_DT11_T1;Сработка 2СС1-ДТ11 температура в Помещении холод. шкафов 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;47;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
49;BI22_2SS1_DT11_T2;Сработка 2СС1-ДТ11 температура в Помещении холод. шкафов 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;48;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
50;BI22_2SS1_DT11_dT;Сработка 2СС1-ДТ11 изменение температуры в Помещении холод. шкафов 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;49;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
51;BI22_2SS1_DF2_f;Сработка 2СС1-ДФ2 дым в Тамбуре №1 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;50;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
52;BI22_2SS1_R1;Сработка 2СС1-Р1 в Тамбуре №1;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;51;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
53;BI22_2SS1_DT4_T1;Сработка 2СС1-ДТ4 температура в Помещении мех. ПУ 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;52;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
54;BI22_2SS1_DT4_T2;Сработка 2СС1-ДТ4 температура в Помещении мех. ПУ 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;53;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
55;BI22_2SS1_DT4_dT;Сработка 2СС1-ДТ4 изменение температуры в Помещении мех. ПУ 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;54;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
56;BI22_2SS1_DT5_T1;Сработка 2СС1-ДТ5 температура в Помещении мех. ПУ 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;55;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
57;BI22_2SS1_DT5_T2;Сработка 2СС1-ДТ5 температура в Помещении мех. ПУ 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;56;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
58;BI22_2SS1_DT5_dT;Сработка 2СС1-ДТ5 изменение температуры в Помещении мех. ПУ 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;57;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
59;BI22_2SS1_DT6_T1;Сработка 2СС1-ДТ6 температура в Помещении мех. ПУ 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;58;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
60;BI22_2SS1_DT6_T2;Сработка 2СС1-ДТ6 температура в Помещении мех. ПУ 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;59;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
61;BI22_2SS1_DT6_dT;Сработка 2СС1-ДТ6 изменение температуры в Помещении мех. ПУ 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;60;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
62;BI22_2SS1_DK1_T;Сработка 2СС1-ДК1 температура в Кладовой ЗИП №1 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;61;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
63;BI22_2SS1_DK1_dT;Сработка 2СС1-ДК1 изменение температуры в Кладовой ЗИП №1 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;62;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
64;BI22_2SS1_DK1_f;Сработка 2СС1-ДК1 дым в Кладовой ЗИП №1 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;500;63;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
65;BI22_2SS1_DT1_T1;Сработка 2СС1-ДТ1 температура в Пом. тр. ПУ и сточ. ц. №1 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;0;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
66;BI22_2SS1_DT1_T2;Сработка 2СС1-ДТ1 температура в Пом. тр. ПУ и сточ. ц. №1 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;1;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
67;BI22_2SS1_DT1_dT;Сработка 2СС1-ДТ1 изменение температуры в Пом. тр. ПУ и сточ. ц. №1 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;2;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
68;BI22_2SS1_DT2_T1;Сработка 2СС1-ДТ2 температура в Пом. тр. ПУ и сточ. ц. №1 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;3;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
69;BI22_2SS1_DT2_T2;Сработка 2СС1-ДТ2 температура в Пом. тр. ПУ и сточ. ц. №1 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;4;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
70;BI22_2SS1_DT2_dT;Сработка 2СС1-ДТ2 изменение температуры в Пом. тр. ПУ и сточ. ц. №1 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;5;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
71;BI22_2SS1_DT3_T1;Сработка 2СС1-ДТ3 температура в Пом. тр. ПУ и сточ. ц. №1 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;6;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
72;BI22_2SS1_DT3_T2;Сработка 2СС1-ДТ3 температура в Пом. тр. ПУ и сточ. ц. №1 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;7;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
73;BI22_2SS1_DT3_dT;Сработка 2СС1-ДТ3 изменение температуры в Пом. тр. ПУ и сточ. ц. №1 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;8;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
74;BI22_2SS1_DF1_f;Сработка 2СС1-ДФ1 дым в Агрегатной ПУС 15%;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;9;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
75;BI22_2SS1_DT8_T1;Сработка 2СС1-ДТ8 температура в Агрегатной ПУС 30 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;10;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
76;BI22_2SS1_DT8_T2;Сработка 2СС1-ДТ8 температура в Агрегатной ПУС 70 гр.Ц.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;11;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
77;BI22_2SS1_DT8_dT;Сработка 2СС1-ДТ8 изменение температуры в Агрегатной ПУС 10 гр.Ц. в мин.;2022. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;501;12;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
78;BI23_3SS1_DF13_f;Сработка 3СС1-ДФ13 дым в Коридоре №1 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;13;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
79;BI23_3SS1_DF14_f;Сработка 3СС1-ДФ14 дым в Коридоре №1 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;14;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
80;BI23_3SS1_R5;Сработка 3СС1-Р5 в Коридоре №1;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;15;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
81;BI23_3SS1_DK11_V;Сработка 3СС1-ДК11 объем в Коридоре №1 20 мг. куб.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;16;1;ДА;3;ДА;0;Пожарная автоматика;О20;;
82;BI23_3SS1_DK11_T;Сработка 3СС1-ДК11 температура в Коридоре №1 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;17;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
83;BI23_3SS1_DK11_dT;Сработка 3СС1-ДК11 изменение температуры в Коридоре №1 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;18;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
84;BI23_3SS1_DK11_f;Сработка 3СС1-ДК11 дым в Коридоре №1 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;19;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
85;BI23_3SS1_DF8_f;Сработка 3СС1-ДФ8 дым в Тамбуре №7 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;20;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
86;BI23_3SS1_R3;Сработка 3СС1-Р3 в Тамбуре №7;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;21;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
87;BI23_3SS1_DT26_T1;Сработка 3СС1-ДТ26 температура в Гальюне мичманов 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;22;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
88;BI23_3SS1_DT26_T2;Сработка 3СС1-ДТ26 температура в Гальюне мичманов 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;23;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
89;BI23_3SS1_DT26_dT;Сработка 3СС1-ДТ26 изменение температуры в Гальюне мичманов 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;24;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
90;BI23_3SS1_DF7_f;Сработка 3СС1-ДФ7 дым в Раздевальной мичманов 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;25;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
91;BI23_3SS1_DF20_f;Сработка 3СС1-ДФ20 дым в Тамбуре №9 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;26;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
92;BI23_3SS1_R9;Сработка 3СС1-Р9 в Тамбуре №9;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;27;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
93;BI23_3SS1_DT35_T1;Сработка 3СС1-ДТ35 температура в Трансляционном посту 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;28;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
94;BI23_3SS1_DT35_T2;Сработка 3СС1-ДТ35 температура в Трансляционном посту 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;29;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
95;BI23_3SS1_DT35_dT;Сработка 3СС1-ДТ35 изменение температуры в Трансляционном посту 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;30;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
96;BI23_3SS1_DT36_f1;Сработка 3СС1-ДТ36 влажность в Помещении щитов №3 98% ;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;31;1;ДА;3;ДА;0;Пожарная автоматика;В98;;
97;BI23_3SS1_DT36_f2;Сработка 3СС1-ДТ36 влажность в Помещении щитов №3 80% ;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;32;1;ДА;3;ДА;0;Пожарная автоматика;В80;;
98;BI23_3SS1_DT36_T1;Сработка 3СС1-ДТ36 температура в Помещении щитов №3 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;33;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
99;BI23_3SS1_DT36_T2;Сработка 3СС1-ДТ36 температура в Помещении щитов №3 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;34;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
100;BI23_3SS1_DK9_T;Сработка 3СС1-ДК9 температура в Помещении щитов №3 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;35;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
101;BI23_3SS1_DK9_dT;Сработка 3СС1-ДК9 изменение температуры в Помещении щитов №3 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;36;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
102;BI23_3SS1_DK9_f;Сработка 3СС1-ДК9 дым в Помещении щитов №3 15%.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;37;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
103;BI23_3SS1_DT37_T1;Сработка 3СС1-ДТ37 температура в Каюте мичманов №1 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;38;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
104;BI23_3SS1_DT37_T2;Сработка 3СС1-ДТ37 температура в Каюте мичманов №1 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;39;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
105;BI23_3SS1_DT37_dT;Сработка 3СС1-ДТ37 изменение температуры в Каюте мичманов №1 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;40;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
